unique_id,cnn_intrsctn_pkey,intrsctn_grp,intrsctn_type,case_id_pkey,accident_year,collision_date,collision_time,time_cat,day_of_week,special_cond,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,truck_accident,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,primary_ramp,secondary_ramp,party_number_ckey,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,dir_of_travel,party_safety_equip_1,party_safety_equip_2,sp_info_1,sp_info_2,sp_info_3,oaf_violation_code,oaf_viol_cat,oaf_viol_section,oaf_violation_suffix,oaf_1,oaf_2,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,inattention,mv_involved,col_comb,dph_col_type,dph_col_grp
7208,24198000,0,INTERSECTIONS,2885875,2006,20061024,1335,B,2,0,BRYANT ST,9TH ST,10,E,N,A,-,R,4,N,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,F,56,A,-,-,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
7209,24198000,0,INTERSECTIONS,4652185,2010,20100402,1809,D,5,0,BRYANT ST,9TH ST,0,,Y,A,-,,,,N,2,0,1,2,A,10,N,G,B,B,B,H,-,A,A,,,A,1,1,0,0,0,1,-,-,1,1,Y,F,32,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,E,2010,CHEVROLET,A,,,1 2,E,BB
7210,24198000,0,INTERSECTIONS,5303218,2011,20110824,905,A,3,0,9TH ST,BRYANT ST,3,N,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,F,53,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7211,24198000,0,INTERSECTIONS,2112319,2005,20050709,1602,C,6,0,9TH ST,BRYANT ST,11,N,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,D,A,H,-,A,A,,,A,1,0,1,0,0,1,-,-,1,1,Y,F,25,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,E,2001,HONDA,A,,,1 2,E,BB
7212,24198000,0,INTERSECTIONS,5303218,2011,20110824,905,A,3,0,9TH ST,BRYANT ST,3,N,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,F,36,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,F,1995,MERCEDES-BENZ,A,,,1 2,E,BB
7213,24198000,0,INTERSECTIONS,6067183,2012,20120906,1742,,4,0,9TH AV,BRYANT ST,2,N,N,A,-,,,,N,4,0,1,2,A,8,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,F,32,A,-,N,L,G,-,3,-,-,-,,,N,-,0,0,E,1999,JEEP,A,,,1 2,E,BB
7214,24201000,17,INTERSECTIONS,4635493,2010,20100202,1300,B,2,0,8TH ST,HARRISON ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,43,A,-,S,M,G,-,3,-,-,-,,,N,-,0,0,D,2005,NISSAN,A,,,1 2,E,BB
7215,24201000,17,INTERSECTIONS,3259246,2007,20070709,1430,C,1,0,RT 80,HARRISON ST,1,S,N,A,-,R,3,W,Y,4,0,1,2,A,3,N,E,B,D,A,H,-,A,A,,,A,1,0,0,1,0,1,WO,-,2,2,N,M,29,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
7216,24201000,17,INTERSECTIONS,4635493,2010,20100202,1300,B,2,0,8TH ST,HARRISON ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,F,61,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7217,24201000,17,INTERSECTIONS,6046472,2012,20121219,1730,,3,0,HARRISON ST,8TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,,A,8,0,0,1,0,1,-,-,1,1,Y,M,28,A,-,S,M,G,-,3,-,,31,22107,,A,-,0,0,E,2010,TOYOTA,A,,,1 2,E,BB
7218,24201000,17,INTERSECTIONS,5483590,2012,20120117,1230,,2,0,HARRISON ST,8TH ST,6,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,A,A,,,N,60,0,1,0,0,1,-,-,2,1,N,M,59,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,H,1999,CHEVROLET,A,,,1 2,E,BB
7219,24201000,17,INTERSECTIONS,3259246,2007,20070709,1430,C,1,0,RT 80,HARRISON ST,1,S,N,A,-,R,3,W,Y,4,0,1,2,A,3,N,E,B,D,A,H,-,A,A,,,A,1,0,0,1,0,1,WO,-,1,1,Y,F,50,A,-,W,P,G,-,3,-,,31,22107,,A,-,0,0,B,1990,CHRYSLER,A,,,1 2,E,BB
7220,24201000,17,INTERSECTIONS,5483590,2012,20120117,1230,,2,0,HARRISON ST,8TH ST,6,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,A,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,25,A,-,S,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
7221,24201000,17,INTERSECTIONS,6046472,2012,20121219,1730,,3,0,HARRISON ST,8TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,,A,8,0,0,1,0,1,-,-,2,2,N,M,35,-,-,N,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
7222,24206000,0,INTERSECTIONS,1986256,2005,20050217,1655,C,4,0,HARRISON,10TH ST,0,,Y,C,-,,,,N,4,0,1,2,A,10,N,G,B,B,B,H,-,C,A,,,-,-,0,0,1,0,1,-,-,1,1,Y,M,67,A,-,W,M,-,-,-,-,-,-,,,-,-,0,0,F,1998,MERCURY,-,,,1 2,E,BB
7223,24206000,0,INTERSECTIONS,2629223,2006,20060215,1934,D,3,0,10TH ST,HARRISON ST,6,S,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,,A,1,0,1,0,0,1,-,-,1,1,Y,M,25,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,D,1989,HONDA,A,,,1 2,E,BB
7224,24206000,0,INTERSECTIONS,1986284,2005,20050216,611,A,3,0,10TH ST,HARRISON,0,,Y,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,C,A,,,N,60,0,0,1,0,1,-,-,1,2,Y,F,50,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7225,24206000,0,INTERSECTIONS,2629223,2006,20060215,1934,D,3,0,10TH ST,HARRISON ST,6,S,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,,A,1,0,1,0,0,1,-,-,2,2,N,M,59,A,-,-,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
7226,24206000,0,INTERSECTIONS,5102160,2011,20110219,2306,E,6,0,10TH ST,HARRISON ST,5,N,N,C,-,,,,N,4,0,1,2,A,10,N,G,B,B,B,H,-,C,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,29,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7227,24206000,0,INTERSECTIONS,5427559,2011,20111107,1807,D,1,0,10TH ST,HARRISON ST,43,S,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,52,G,G,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7228,24206000,0,INTERSECTIONS,5102160,2011,20110219,2306,E,6,0,10TH ST,HARRISON ST,5,N,N,C,-,,,,N,4,0,1,2,A,10,N,G,B,B,B,H,-,C,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,63,A,-,S,M,G,-,3,-,-,-,,,N,-,0,0,D,1989,FORD,A,,,1 2,E,BB
7229,24206000,0,INTERSECTIONS,6049436,2012,20121028,233,,7,0,10TH ST,HARRISON ST,0,,Y,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,Y,A,1,0,1,0,0,1,-,-,1,1,Y,M,53,A,-,S,M,C,-,3,-,-,-,,,N,-,0,0,E,2006,HONDA,A,,,1 2,E,BB
7230,24206000,0,INTERSECTIONS,1986256,2005,20050217,1655,C,4,0,HARRISON,10TH ST,0,,Y,C,-,,,,N,4,0,1,2,A,10,N,G,B,B,B,H,-,C,A,,,-,-,0,0,1,0,1,-,-,2,2,N,M,30,A,-,-,-,-,-,-,-,-,-,,,-,-,0,1,B,,-,N,,,1 2,E,BB
7231,24206000,0,INTERSECTIONS,6083822,2012,20120111,1315,,3,0,10TH ST,HARRISON ST,0,,Y,A,-,,,,,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,31,G,G,S,M,B,-,-,-,-,-,,,N,-,0,0,E,2008,HONDA,A,,,1 2,E,BB
7232,24206000,0,INTERSECTIONS,1986284,2005,20050216,611,A,3,0,10TH ST,HARRISON,0,,Y,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,C,A,,,N,60,0,0,1,0,1,-,-,2,1,N,M,49,A,-,S,M,G,-,3,-,-,-,,,N,-,0,0,B,1995,FORD,A,,,1 2,E,BB
7233,24206000,0,INTERSECTIONS,5427559,2011,20111107,1807,D,1,0,10TH ST,HARRISON ST,43,S,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,2,1,N,F,50,A,-,S,M,G,-,3,-,-,-,,,N,-,0,0,B,2000,NISSAN,A,,,1 2,E,BB
7234,24206000,0,INTERSECTIONS,3787660,2008,20080620,648,A,5,0,HARRISON ST,10TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,26,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,E,2002,FORD,A,,,1 2,E,BB
7235,24206000,0,INTERSECTIONS,6049436,2012,20121028,233,,7,0,10TH ST,HARRISON ST,0,,Y,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,C,A,,Y,A,1,0,1,0,0,1,-,-,2,2,N,M,30,D,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7236,24206000,0,INTERSECTIONS,6083822,2012,20120111,1315,,3,0,10TH ST,HARRISON ST,0,,Y,A,-,,,,,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,F,33,G,G,E,-,-,-,-,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7237,24206000,0,INTERSECTIONS,3787660,2008,20080620,648,A,5,0,HARRISON ST,10TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,56,A,-,W,-,-,-,3,-,-,-,,,N,-,0,1,-,,-,N,,,1 2,E,BB
7238,24209000,0,INTERSECTIONS,6068227,2012,20120919,1833,,3,0,HARRISON ST,9TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,8,0,0,1,0,1,-,-,2,2,N,F,37,A,-,N,-,-,-,3,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
7239,24209000,0,INTERSECTIONS,2106250,2005,20050613,1324,B,1,0,HARRISON ST,9TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,43,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,D,2003,JAGUAR,A,,,1 2,E,BB
7240,24209000,0,INTERSECTIONS,6072932,2012,20121115,1336,,4,0,9TH ST,HARRISON ST,0,,Y,B,-,,,,N,3,0,1,2,A,21,N,H,B,B,A,H,-,A,A,,,-,-,0,1,0,0,1,-,-,2,2,N,F,58,-,-,W,-,-,-,3,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
7241,24209000,0,INTERSECTIONS,2625370,2006,20060217,2127,D,5,0,HARRISON ST,9TH ST,201,W,N,C,-,,,,N,2,0,1,2,A,11,F,G,B,D,B,H,-,C,A,,Y,N,60,1,0,0,0,1,-,-,2,1,N,-,998,D,-,W,-,-,-,-,-,-,-,,,A,-,0,0,B,2003,SAAB,-,,,1 2,E,BB
