A,B,FT,STREETNAME,TYPE,MTYPE,DISTANCE,LANE_AM,LANE_OP,LANE_PM,EA_PCE,AM_PCE,MD_PCE,PM_PCE,EV_PCE,DAY_PCE
20013000,51652000,11,GILROY,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20013000,51653000,11,IGNACIO,AVE,SF,0.08,1,1,1,0,0,0,0,0,0
20034000,33121000,11,DONAHUE,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20034000,50752000,11,CLEO RAND,AVE,SF,0.12,1,1,1,0,0,0,0,0,0
20034000,51690000,11,DONAHUE,ST,SF,0.02,1,1,1,0,0,0,0,0,0
20039000,20044000,11,JERROLD,AVE,SF,0.11,1,1,1,8.11407,61.17119,110.98214,57.34996,60.67362,298.29099
20039000,33121000,11,JERROLD,AVE,SF,0.13,1,1,1,2.22072,22.10736,89.02756,67.55093,71.09215,251.9987
20039000,33128000,11,EARL,ST,SF,0.05,1,1,1,0,18,39,18,34,109
20041000,20056000,12,INNES,AVE,SF,0.13,2,2,2,28.18758,127.39378,198.58614,90.70715,126.22038,571.09503
20041000,33130000,11,EARL,ST,SF,0.05297,1,1,1,0,0,0,0,0,0
20041000,51678000,12,INNES,AVE,SF,0.14,1,1,1,24.16123,66.89271,212.52411,141.15367,181.87508,626.60681
20044000,20039000,11,JERROLD,AVE,SF,0.11,1,1,1,1.80538,39.30767,127.35794,84.64278,99.16543,352.27921
20044000,20046000,11,DORMITORY,RD,SF,0.06,1,1,1,6.66407,53.20894,77.71109,38.78146,40.50437,216.86992
20044000,20060000,11,NORTHRIDGE,RD,SF,0.17,1,1,1,1.45,7.96225,33.27105,18.5685,20.16925,81.42106
20046000,20044000,11,DORMITORY,RD,SF,0.06,1,1,1,1.46038,17.08956,75.17165,58.44118,52.73019,204.89296
20046000,20058000,11,KISKA,RD,SF,0.13,1,1,1,6.66407,71.20894,116.71109,56.78146,74.50437,325.86993
20046000,33128000,11,KIRKWOOD,AVE,SF,0.12,1,1,1,0.41534,0.79969,0.66962,0.90814,5.92672,8.71952
20051000,33223000,11,FITZGERALD,AVE,SF,0.12,1,1,1,0.01763,0.03187,1.21673,0.91222,0.85049,3.02894
20051000,33226000,11,DONAHUE,ST,SF,0.05,1,1,1,0.03049,0.41283,4.47262,1.94682,2.48369,9.34644
20051000,33644000,11,DONAHUE,ST,SF,0.05,1,1,1,0,0,0,0,0,0
20056000,20041000,12,INNES,AVE,SF,0.13,2,2,2,24.16123,66.89271,212.52411,141.15367,181.87508,626.60681
20056000,20057000,11,FITCH,ST,SF,0.05,1,1,1,0,0,0,0,0,0
20056000,20163000,12,INNES,AVE,SF,0.13,2,2,2,28.18758,127.39378,198.58614,90.70715,126.22038,571.09503
20057000,20056000,11,FITCH,ST,SF,0.05,1,1,1,0,0,0,0,0,0
20057000,51644000,11,FITCH,ST,SF,0.13,1,1,1,0,0,0,0,0,0
20058000,20046000,11,KISKA,RD,SF,0.13,1,1,1,1.87572,17.88926,75.84128,59.34932,58.65691,213.61249
20058000,20077000,11,KISKA,RD,SF,0.15,1,1,1,6.66407,71.20894,116.71109,56.78146,74.50437,325.86993
20058000,50770000,11,REARDON,RD,SF,0.08,1,1,1,0,0,0,0,0,0
20060000,20044000,11,NORTHRIDGE,RD,SF,0.17,1,1,1,0.345,22.2181,52.18628,26.20161,46.43524,147.38623
